"Step","CUDA_BATCHED_HIDROGEN - Energy","CUDA_BATCHED_HIDROGEN - Energy__MIN","CUDA_BATCHED_HIDROGEN - Energy__MAX"
"318","-0.4999247193336487","-0.4999247193336487","-0.4999247193336487"
"319","-0.499860942363739","-0.499860942363739","-0.499860942363739"
"320","-0.4999977946281433","-0.4999977946281433","-0.4999977946281433"
"321","-0.4999997615814209","-0.4999997615814209","-0.4999997615814209"
"322","-0.4999624788761139","-0.4999624788761139","-0.4999624788761139"
"323","-0.49996674060821533","-0.49996674060821533","-0.49996674060821533"
"324","-0.5000621676445007","-0.5000621676445007","-0.5000621676445007"
"325","-0.49991658329963684","-0.49991658329963684","-0.49991658329963684"
"326","-0.5000190734863281","-0.5000190734863281","-0.5000190734863281"
"327","-0.5000092387199402","-0.5000092387199402","-0.5000092387199402"
"328","-0.500005841255188","-0.500005841255188","-0.500005841255188"
"329","-0.5000311136245728","-0.5000311136245728","-0.5000311136245728"
"330","-0.49994704127311707","-0.49994704127311707","-0.49994704127311707"
"331","-0.5001267790794373","-0.5001267790794373","-0.5001267790794373"
"332","-0.5002398490905762","-0.5002398490905762","-0.5002398490905762"
"333","-0.49993303418159485","-0.49993303418159485","-0.49993303418159485"
"334","-0.49991118907928467","-0.49991118907928467","-0.49991118907928467"
